201871768,2.02E+14,2799,0,theft-embezzle,white-collar-crime,10/30/2017 12:00,12/21/2017 12:00,1/30/2018 15:19,7400 E HAMPDEN AVE,3168440,1663019,-104.9017869,39.6522603,3,324,hampden-south,1,0
20188004580,2.02E+16,1316,0,threats-to-injure,public-disorder,1/30/2018 14:30,,1/30/2018 15:50,8900 PENA BLVD,3231979,1738721,-104.6736941,39.8587042,7,759,dia,1,0
201871234,2.02E+14,5499,0,traf-other,all-other-crimes,1/30/2018 11:50,,1/30/2018 12:51,1600 BLOCK S BROADWAY ST,3144275,1675694,-104.9873527,39.6874619,3,313,platt-park,1,0
2017294559,2.02E+15,2404,0,theft-of-motor-vehicle,auto-theft,5/6/2017 0:00,5/6/2017 8:30,5/6/2017 9:48,,3131341,1693841,-105.0329783,39.7374707,1,122,west-colfax,1,0
2016398281,2.02E+15,5707,0,criminal-trespassing,all-other-crimes,6/12/2016 20:00,6/14/2016 20:00,6/24/2016 20:08,5046 N AKRON ST,3173322,1712972,-104.8832447,39.7893007,5,511,stapleton,1,0
201872460,2.02E+14,2399,0,theft-other,larceny,1/30/2018 20:15,1/30/2018 20:50,1/30/2018 22:11,3400 S LOWELL BLVD,3131584,1664614,-105.0326489,39.6572324,4,423,harvey-park-south,1,0
2016309815,2.02E+15,2404,0,theft-of-motor-vehicle,auto-theft,5/18/2016 12:15,5/18/2016 13:00,5/18/2016 13:05,400 BLK N DELAWARE ST,3142567,1688930,-104.9931592,39.7238238,3,311,baker,1,0
20186001018,2.02E+16,2308,0,theft-from-bldg,larceny,1/18/2018 14:00,1/18/2018 15:00,1/30/2018 11:22,1223 N LAFAYETTE ST,3148817,1693288,-104.97085,39.7356895,6,622,cheesman-park,1,0
20188004582,2.02E+16,2404,0,theft-of-motor-vehicle,auto-theft,1/29/2018 7:37,1/30/2018 14:50,1/30/2018 16:00,24558 E 75TH AVE,3224451,1728887,-104.7008155,39.8318947,7,759,dia,1,0
201872177,2.02E+14,4104,0,liquor-possession,drug-alcohol,1/30/2018 18:19,,1/30/2018 19:44,800 N DELAWARE ST,3142665,1690851,-104.9927726,39.7290958,1,123,lincoln-park,1,0
2017510328,2.02E+15,1315,0,aggravated-assault,aggravated-assault,8/1/2017 20:34,,8/1/2017 20:34,16TH ST / CLEVELAND PL,3144028,1695494,-104.9878337,39.7418207,6,611,cbd,1,0
2016256044,2.02E+15,2404,0,theft-of-motor-vehicle,auto-theft,4/24/2016 22:00,4/25/2016 6:20,4/25/2016 6:45,2300 BLK S LINCOLN ST,3144490,1670647,-104.9866901,39.6736033,3,313,rosedale,1,0
20186001049,2.02E+16,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,1/29/2018 8:15,1/29/2018 8:15,1/31/2018 8:22,5534 N MALAYA ST,3212674,1715546,-104.7431426,39.7955499,5,523,gateway-green-valley-ranch,1,0
201871376,2.02E+14,2999,1,criminal-mischief-mtr-veh,public-disorder,1/30/2018 0:51,1/30/2018 0:59,1/30/2018 16:15,9575 E 40TH AVE,3175400,1707843,-104.8759758,39.7751821,5,512,stapleton,1,0
201872530,2.02E+14,1006,0,kidnap-adult-victim,all-other-crimes,1/30/2018 20:00,1/30/2018 22:00,1/31/2018 0:29,,3142260,1694903,-104.9941323,39.7402255,6,611,cbd,1,0
201870965,2.02E+14,5016,0,violation-of-restraining-order,all-other-crimes,1/30/2018 10:10,,1/30/2018 12:28,7700 BLK E 23RD AVE,3169198,1698929,-104.8982502,39.7508268,5,512,stapleton,1,0
201870850,2.02E+14,2404,0,theft-of-motor-vehicle,auto-theft,1/29/2018 15:30,1/30/2018 6:00,1/30/2018 11:03,7001 N YAMPA ST,3203574,1725857,-104.7752333,39.8240579,5,522,dia,1,0
201872599,2.02E+14,5213,0,weapon-unlawful-discharge-of,all-other-crimes,1/30/2018 22:14,,1/30/2018 22:14,12900 BLOCK E ANDREWS DR,3185154,1711367,-104.8411841,39.7846668,5,521,montbello,1,0
201871958,2.02E+14,5441,0,traffic-accident,traffic-accident,1/30/2018 16:39,,1/30/2018 17:30,E 6TH AVE / N IVY LN,3163019,1689604,-104.9204367,39.7253384,3,321,hilltop,0,1
2016229783,2.02E+15,2399,0,theft-other,larceny,4/13/2016 13:00,4/13/2016 13:35,4/13/2016 18:02,496 S DAYTON ST,3175885,1683258,-104.8748523,39.7076832,3,321,windsor,1,0
2016330967,2.02E+15,2308,0,theft-from-bldg,larceny,5/27/2016 12:00,,5/27/2016 12:36,3000 E 1ST AVE,3153340,1686622,-104.9549101,39.7173167,3,311,cherry-creek,1,0
